participant_id,legal_name,business_type,scale_class,operating_profile,series_code,compliance_period,pre_adjustment_quota,quota_adjustment,allocated_quota,verified_emission,acknowledged_purchases,acknowledged_sales,eligible_banked_units,eligible_offset_applied,eligible_holding,buying_capacity,source_status,data_origin,source_reference
SYN-PLP-S-A,Sintetis Industri Pulp dan Kertas SMALL A,PULP_KERTAS,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,105000,1000,106000,98000,0,0,7000,0,113000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-PLP-S-A
SYN-PLP-S-B,Sintetis Industri Pulp dan Kertas SMALL B,PULP_KERTAS,SMALL,Beban Tinggi,PTBAE-IND,2024,111000,0,111000,110000,0,0,0,0,111000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-PLP-S-B
SYN-PLP-S-B,Sintetis Industri Pulp dan Kertas SMALL B,PULP_KERTAS,SMALL,Beban Tinggi,PTBAE-IND,2025,108000,1000,109000,109000,0,0,1000,0,110000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-PLP-S-B
SYN-PLP-S-B,Sintetis Industri Pulp dan Kertas SMALL B,PULP_KERTAS,SMALL,Beban Tinggi,PTBAE-IND,2026,107000,2000,109000,109000,0,0,1000,0,110000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-PLP-S-B
SYN-PLP-M-A,Sintetis Industri Pulp dan Kertas MEDIUM A,PULP_KERTAS,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,340000,1000,341000,309000,0,0,0,0,341000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-PLP-M-A
SYN-PLP-M-A,Sintetis Industri Pulp dan Kertas MEDIUM A,PULP_KERTAS,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,333000,2000,335000,307000,0,0,19000,0,354000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-PLP-M-A
SYN-PLP-M-A,Sintetis Industri Pulp dan Kertas MEDIUM A,PULP_KERTAS,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,327000,-2000,325000,306000,0,0,24000,0,349000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-PLP-M-A
SYN-PLP-M-B,Sintetis Industri Pulp dan Kertas MEDIUM B,PULP_KERTAS,MEDIUM,Beban Tinggi,PTBAE-IND,2024,370000,2000,372000,366000,0,0,0,0,372000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-PLP-M-B
SYN-PLP-M-B,Sintetis Industri Pulp dan Kertas MEDIUM B,PULP_KERTAS,MEDIUM,Beban Tinggi,PTBAE-IND,2025,362000,-2000,360000,364000,0,0,4000,0,364000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-PLP-M-B
SYN-PLP-M-B,Sintetis Industri Pulp dan Kertas MEDIUM B,PULP_KERTAS,MEDIUM,Beban Tinggi,PTBAE-IND,2026,355000,-1000,354000,362000,0,0,0,3000,357000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-PLP-M-B
SYN-PLP-L-A,Sintetis Industri Pulp dan Kertas LARGE A,PULP_KERTAS,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,979000,-2000,977000,890000,0,0,0,0,977000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-PLP-L-A
SYN-PLP-L-A,Sintetis Industri Pulp dan Kertas LARGE A,PULP_KERTAS,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,959000,-1000,958000,885000,0,0,52000,0,1010000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-PLP-L-A
SYN-PLP-L-A,Sintetis Industri Pulp dan Kertas LARGE A,PULP_KERTAS,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,939000,0,939000,880000,0,0,63000,0,1002000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-PLP-L-A
SYN-PLP-L-B,Sintetis Industri Pulp dan Kertas LARGE B,PULP_KERTAS,LARGE,Beban Tinggi,PTBAE-IND,2024,1029000,-1000,1028000,1019000,0,0,0,0,1028000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-PLP-L-B
SYN-PLP-L-B,Sintetis Industri Pulp dan Kertas LARGE B,PULP_KERTAS,LARGE,Beban Tinggi,PTBAE-IND,2025,1009000,0,1009000,1014000,0,0,5000,0,1014000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-PLP-L-B
SYN-PLP-L-B,Sintetis Industri Pulp dan Kertas LARGE B,PULP_KERTAS,LARGE,Beban Tinggi,PTBAE-IND,2026,988000,1000,989000,1008000,0,0,0,7000,996000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-PLP-L-B
SYN-MFG-S-A,Sintetis Manufaktur Efisien SMALL A,MANUFAKTUR_EFISIEN,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,49000,0,49000,44000,0,0,0,0,49000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-MFG-S-A
SYN-MFG-S-A,Sintetis Manufaktur Efisien SMALL A,MANUFAKTUR_EFISIEN,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,50000,1000,51000,45000,0,0,3000,0,54000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-MFG-S-A
SYN-MFG-S-A,Sintetis Manufaktur Efisien SMALL A,MANUFAKTUR_EFISIEN,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,49000,2000,51000,45000,0,0,5000,0,56000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-MFG-S-A
SYN-MFG-S-B,Sintetis Manufaktur Efisien SMALL B,MANUFAKTUR_EFISIEN,SMALL,Beban Tinggi,PTBAE-IND,2024,51000,1000,52000,49000,0,0,0,0,52000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-MFG-S-B
SYN-MFG-S-B,Sintetis Manufaktur Efisien SMALL B,MANUFAKTUR_EFISIEN,SMALL,Beban Tinggi,PTBAE-IND,2025,51000,2000,53000,50000,0,0,2000,0,55000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-MFG-S-B
SYN-MFG-S-B,Sintetis Manufaktur Efisien SMALL B,MANUFAKTUR_EFISIEN,SMALL,Beban Tinggi,PTBAE-IND,2026,50000,-2000,48000,50000,0,0,3000,0,51000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-MFG-S-B
SYN-MFG-M-A,Sintetis Manufaktur Efisien MEDIUM A,MANUFAKTUR_EFISIEN,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,158000,2000,160000,141000,0,0,0,0,160000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-MFG-M-A
SYN-MFG-M-A,Sintetis Manufaktur Efisien MEDIUM A,MANUFAKTUR_EFISIEN,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,158000,-2000,156000,143000,0,0,11000,0,167000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-MFG-M-A
SYN-MFG-M-A,Sintetis Manufaktur Efisien MEDIUM A,MANUFAKTUR_EFISIEN,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,156000,-1000,155000,144000,0,0,12000,0,167000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-MFG-M-A
SYN-MFG-M-B,Sintetis Manufaktur Efisien MEDIUM B,MANUFAKTUR_EFISIEN,MEDIUM,Beban Tinggi,PTBAE-IND,2024,175000,-2000,173000,168000,0,0,0,0,173000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-MFG-M-B
SYN-MFG-M-B,Sintetis Manufaktur Efisien MEDIUM B,MANUFAKTUR_EFISIEN,MEDIUM,Beban Tinggi,PTBAE-IND,2025,174000,-1000,173000,170000,0,0,3000,0,176000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-MFG-M-B
SYN-MFG-M-B,Sintetis Manufaktur Efisien MEDIUM B,MANUFAKTUR_EFISIEN,MEDIUM,Beban Tinggi,PTBAE-IND,2026,174000,0,174000,172000,0,0,3000,0,177000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-MFG-M-B
SYN-MFG-L-A,Sintetis Manufaktur Efisien LARGE A,MANUFAKTUR_EFISIEN,LARGE,Efisiensi Tinggi,PTBAE-IND,2024,438000,-1000,437000,391000,0,0,0,0,437000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-MFG-L-A
SYN-MFG-L-A,Sintetis Manufaktur Efisien LARGE A,MANUFAKTUR_EFISIEN,LARGE,Efisiensi Tinggi,PTBAE-IND,2025,437000,0,437000,396000,0,0,28000,0,465000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-MFG-L-A
SYN-MFG-L-A,Sintetis Manufaktur Efisien LARGE A,MANUFAKTUR_EFISIEN,LARGE,Efisiensi Tinggi,PTBAE-IND,2026,435000,1000,436000,400000,0,0,35000,0,471000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-MFG-L-A
SYN-MFG-L-B,Sintetis Manufaktur Efisien LARGE B,MANUFAKTUR_EFISIEN,LARGE,Beban Tinggi,PTBAE-IND,2024,464000,0,464000,446000,0,0,0,0,464000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-MFG-L-B
SYN-MFG-L-B,Sintetis Manufaktur Efisien LARGE B,MANUFAKTUR_EFISIEN,LARGE,Beban Tinggi,PTBAE-IND,2025,463000,1000,464000,452000,0,0,11000,0,475000,80000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-MFG-L-B
SYN-MFG-L-B,Sintetis Manufaktur Efisien LARGE B,MANUFAKTUR_EFISIEN,LARGE,Beban Tinggi,PTBAE-IND,2026,460000,2000,462000,456000,0,0,12000,0,474000,80000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-MFG-L-B
